"id,code,title,summary,sector_id,date_start,date_end,ethical_choice,intended_goal,confidence_score,notes"
"1,CASE-001,Privacy Commissioner AI Guidance Framework (2023),Proactive regulatory framework for AI usage under Privacy Act 2020,1,2023-05,2023-09,The Privacy Commissioner proactively developed comprehensive guidance for AI usage under the Privacy Act 2020 specifically addressing financial services use of AI for decision-making,Ensure AI tools in financial services comply with Information Privacy Principles (IPPs) protect consumer data and maintain transparency in automated decision-making,0.8,"
"2,CASE-002,Government Algorithm Charter Implementation (2018-2020),Government mandated transparency and ethical standards for all algorithmic decision-making affecting citizens,2,2018-07,,Government mandated transparency and ethical standards for all algorithmic decision-making affecting citizens including financial services and benefit determinations,Ensure algorithmic systems are safe effective and publicly acceptable through transparency human oversight and regular monitoring,0.9,"
"3,CASE-003,IRD Automatic Tax Assessment System,IRD implemented automated tax calculations with safeguards for uncertain cases,2,2018,,IRD chose to implement automated tax calculations only where they had reasonable confidence in customer income data with safeguards for uncertain cases,Reduce compliance costs for taxpayers while maintaining accuracy and fairness in tax assessments,0.8,"
"4,CASE-004,Immigration NZ Visa Risk Assessment System,Risk-rating algorithms for visa applications while maintaining human decision-making,3,2016,,INZ implemented risk-rating algorithms for visa applications while maintaining human decision-making for all final approvals/rejections,Improve consistency and efficiency of visa processing whilst maintaining fairness and human judgement,0.8,"
"5,CASE-005,ACC Claims Processing Automation,Fast-track simple claims while ensuring complex cases receive human review,4,2016,,ACC chose to fast-track only simple clearly eligible claims while ensuring complex cases receive human review,Speed up processing for straightforward claims while maintaining thorough assessment for complex cases,0.7,"
"6,CASE-006,Customs Border Risk Assessment Systems,Refined algorithms to balance security with trade efficiency,5,2014,,Customs refined algorithms to balance security with trade efficiency reducing unnecessary inspections while maintaining detection capabilities,Protect New Zealand from illicit goods whilst minimising trade disruption and inspection burden on legitimate businesses,0.9,"
"7,CASE-007,Banking Sector Algorithm Charter Participation,Banks voluntarily committed to algorithm transparency principles,6,2018,,Banks voluntarily committed to algorithm transparency principles through industry participation in government transparency initiatives,Build public trust in algorithmic decision-making in banking while maintaining competitive advantages,0.6,"
"8,CASE-008,Buy-Now-Pay-Later Algorithm Credit Decisions,BNPL providers implemented rapid automated credit assessments with minimal verification,7,2020,,BNPL providers implemented rapid automated credit assessments with minimal verification prioritising customer acquisition over comprehensive affordability checks,Increase market penetration and customer base by making credit decisions frictionless and instant,0.7,"
"9,CASE-009,Banking Credit Algorithm Historical Bias,Banks implemented AI credit scoring systems without addressing embedded systemic biases,6,2015,,Banks implemented AI credit scoring systems trained on historical lending data without adequately addressing embedded systemic biases against M?ori and Pacific peoples,Improve efficiency and consistency in credit decisions while reducing human bias in lending,0.6,"
"10,CASE-010,ANZ Bank Mobile App Algorithm Personalisation Issues,ANZ deployed personalised financial product recommendation algorithms without clear customer consent,6,2020,2022,ANZ deployed personalised financial product recommendation algorithms without clear customer consent or understanding of data usage,Increase product sales and customer engagement through targeted recommendations based on spending patterns,0.5,"
"11,CASE-011,Insurance AI Underwriting Discrimination,Insurers implemented AI-driven underwriting algorithms that automatically flagged customers with certain health conditions,8,2018,,Insurers implemented AI-driven underwriting algorithms that automatically flagged or declined customers with certain health conditions without individual assessment,Streamline underwriting processes and improve risk assessment accuracy while reducing processing costs,0.6,"
"12,CASE-012,Cryptocurrency Exchange KYC Algorithm Failures,Crypto exchanges implemented automated KYC verification with inadequate testing for diverse populations,9,2021,2023,Crypto exchanges implemented automated Know Your Customer (KYC) verification algorithms with inadequate testing for name recognition across diverse populations,Meet AML compliance requirements efficiently while processing high volumes of account applications,0.6,"
