"ai_case_id,actor_id,role"
"1,1,implementer"
"1,2,affected group"
"2,3,implementer"
"2,4,implementer"
"2,5,implementer"
"3,6,implementer"
"3,7,affected group"
"4,8,implementer"
"4,9,affected group"
"5,10,implementer"
"5,11,affected group"
"6,12,implementer"
"6,13,affected group"
"7,14,implementer"
"7,15,regulator"
"8,16,implementer"
"8,17,affected group"
"8,18,regulator"
"9,14,implementer"
"9,19,affected group"
"9,20,regulator"
"10,21,implementer"
"10,22,affected group"
"10,23,regulator"
"11,24,implementer"
"11,25,affected group"
"11,26,regulator"
"12,27,implementer"
"12,28,affected group"
"12,29,regulator"
"13,30,implementer"
"13,31,affected group"
"13,23,regulator"
"14,32,implementer"
"14,33,affected group"
"14,23,regulator"
"15,34,implementer"
"15,35,affected group"
"15,36,regulator"
"16,37,implementer"
"16,38,affected group"
"16,39,affected group"
"17,40,implementer"
"17,41,affected group"
"17,18,regulator"
"18,42,implementer"
"18,43,affected group"
"18,26,regulator"
"19,44,implementer"
"19,45,affected group"
"19,46,regulator"
"20,47,implementer"
"20,48,affected group"
"20,36,regulator"
"21,49,implementer"
"21,50,affected group"
"21,51,regulator"
"22,52,implementer"
"22,53,affected group"
"22,36,regulator"
"23,54,regulator"
"23,55,affected group"
"23,56,affected group"
"24,57,implementer"
"24,58,affected group"
"24,59,affected group"
"25,60,implementer"
"25,61,affected group"
"25,62,regulator"
"26,63,implementer"
"26,64,affected group"
"26,36,regulator"
"27,65,implementer"
"27,66,affected group"
"27,26,regulator"
"28,67,implementer"
"28,68,affected group"
"28,69,regulator"
"29,15,implementer"
"29,14,affected group"
"30,21,implementer"
"30,71,affected group"
"30,72,affected group"
"30,18,regulator"
"31,73,implementer"
"31,74,affected group"
"31,26,regulator"
"32,75,implementer"
"32,76,affected group"
"32,36,regulator"
