"ai_case_id,mechanism_id,detail"
"1,1,Published detailed guidance requiring senior leadership approval for AI implementations"
"1,2,Privacy impact assessments before deployment"
"1,3,Clear transparency about AI usage to customers"
"1,4,Human review processes before acting on AI outputs"
"1,5,Procedures for data access and correction requests"
"1,6,Special consideration for M?ori data sovereignty (CARE Principles)"
"2,7,Algorithm Charter requiring disclosure of automated decision systems"
"2,8,Self-assessment by 14 government agencies"
"2,9,Publication of algorithm descriptions and safeguards"
"2,10,Mandatory human review for significant decisions"
"2,11,Regular algorithmic bias and performance reviews"
"3,12,Algorithm compares current year tax to previous year submissions"
"3,13,Automatic refunds issued only when system is confident about income accuracy"
"3,14,Uncertain cases flagged for human review"
"3,15,Customers can still request manual review of automated decisions"
"4,16,Automated risk rating based on multiple factors (document quality travel patterns etc.)"
"4,17,Risk ratings guide level of verification required not final decisions"
"4,18,All applications still reviewed by immigration officers"
"4,19,Tiered governance model for risk rule changes"
"4,20,Regular rule review and adjustment processes"
