"id,ai_case_id,outcome_id,polarity,detail"
"1,1,,good,Proactive regulatory framework before major AI adoption problems"
"2,1,,good,Clear legal framework for financial institutions to follow"
"3,1,,good,Emphasis on transparency and customer rights"
"4,1,,mixed,Implementation varies across institutions; compliance monitoring ongoing"
"5,2,,good,Comprehensive mapping of government AI use published"
"6,2,,good,Human oversight maintained for all significant decisions (no purely automated negative decisions)"
"7,2,,good,Transparency standards established across agencies"
"8,2,,mixed,Varied implementation quality across agencies"
"9,2,,good,Identified opportunities for cross-government collaboration"
"10,3,,good,2.5-3 million taxpayers required to do little or nothing for tax returns"
"11,3,,good,Immediate refunds for 750000 taxpayers without compliance costs"
"12,3,,good,Maintained accuracy through conservative automated approval thresholds"
"13,3,,good,Preserved human oversight option"
"14,4,,good,Improved global consistency in processing 800000+ applications"
"15,4,,good,Maintained human final decision-making"
"16,4,,good,Structured governance for algorithm updates"
"17,4,,good,Faster processing for low-risk applications"
"18,4,,mixed,Risk factors may reflect historical biases (requires ongoing monitoring)"
"19,5,,good,Faster processing for simple claims"
"20,5,,good,Human oversight preserved for complex cases"
"21,5,,good,Based on substantial historical data (12M claims)"
"22,5,,good,Maintained full appeal processes"
"23,5,,ongoing,System still being refined based on outcomes"
"24,6,,good,245% increase in illicit drug seizures by mail"
"25,6,,good,45% reduction in legitimate consignment inspections"
"26,6,,good,Maintained security while reducing trade friction"
"27,6,,good,Efficiency gains despite 57% increase in trade volumes"
"28,6,,good,Clear performance metrics demonstrated improvement"
"29,7,,mixed,Variable implementation across institutions"
"30,7,,good,Framework established for ongoing accountability"
"31,7,,mixed,Public information quality varies significantly between banks"
"32,7,,ongoing,Implementation still developing across sector"
"33,8,,bad,Contributed to over-indebtedness among young consumers"
"34,8,,bad,Created debt spirals for users across multiple BNPL platforms"
"35,8,,bad,Lack of comprehensive credit reporting enabled multiple overlapping commitments"
"36,8,,mixed,Increased financial inclusion but potentially irresponsible lending"
"37,8,,ongoing,Led to Commerce Commission investigations and regulatory tightening"
"38,9,,bad,Perpetuated and potentially amplified historical lending discrimination"
"39,9,,bad,Reduced credit access for M?ori and Pacific communities"
"40,9,,bad,Created systematic disadvantage in home ownership and business lending"
"41,9,,mixed,Some improvement in processing speed and consistency"
"42,9,,ongoing,Regulatory pressure for fairness improvements"
"43,10,,bad,Customer complaints about invasive financial product marketing"
"44,10,,bad,Privacy concerns about transaction data analysis without explicit consent"
"45,10,,mixed,Some customers found recommendations useful"
"46,10,,good,Eventually led to improved transparency and opt-out options"
