"ai_case_id,source_id,evidence"
"1,1,Primary source for Privacy Commissioner guidance"
"1,2,Legislative framework"
"1,3,Industry reporting on guidance"
"2,4,Government documentation of algorithm assessment"
"2,5,Algorithm Charter framework"
"2,6,Principles documentation"
"3,4,Government algorithm assessment documentation"
"3,7,Tax system modernisation proposals"
"4,4,Immigration risk assessment system documentation"
"4,8,INZ transformation programme details"
"5,4,ACC claims processing documentation"
"5,9,ACC modernisation programme"
"6,4,Customs risk assessment documentation"
"6,10,Customs annual report with performance data"
"7,11,RBNZ reporting on bank AI adoption"
"7,12,RBNZ financial stability report"
"8,13,Commerce Commission BNPL study"
"8,14,RBNZ financial stability concerns"
"8,15,Consumer advocacy research"
"9,16,RBNZ responsible lending guidance"
"9,1,Privacy Commissioner bias detection guidance"
"9,17,Human Rights Commission discrimination research"
"10,18,Banking Ombudsman complaints documentation"
"10,1,Privacy Commissioner AI guidance on marketing"
"10,19,Consumer advocacy on banking apps"
"11,18,IFSO complaints documentation"
"11,17,Human Rights Commission insurance guidance"
"14,18,Banking Ombudsman fraud complaints spike"
"14,20,Historical complaints data"
"14,21,Media coverage of COVID banking issues"
"23,22,Commerce Commission detailed BNPL investigation"
"23,23,Regulatory guidance development"
"23,24,Consumer protection research"
