"id,name"
"1,Senior leadership approval for AI implementations"
"2,Privacy impact assessments before deployment"
"3,Clear transparency about AI usage to customers"
"4,Human review processes before acting on AI outputs"
"5,Procedures for data access and correction requests"
"6,Special consideration for M?ori data sovereignty"
"7,Algorithm Charter requiring disclosure of automated decision systems"
"8,Self-assessment by government agencies"
"9,Publication of algorithm descriptions and safeguards"
"10,Mandatory human review for significant decisions"
"11,Regular algorithmic bias and performance reviews"
"12,Algorithm compares current year tax to previous year submissions"
"13,Automatic refunds issued only when system confident about income accuracy"
"14,Uncertain cases flagged for human review"
"15,Customers can still request manual review of automated decisions"
"16,Automated risk rating based on multiple factors"
"17,Risk ratings guide level of verification required not final decisions"
"18,All applications still reviewed by immigration officers"
"19,Tiered governance model for risk rule changes"
"20,Regular rule review and adjustment processes"
"21,Algorithm analyses anonymised data from historical claims"
"22,Simple claims with clear accident causation automatically approved"
"23,Complex sensitive or ambiguous claims escalated to human reviewers"
"24,Maintains existing appeal and review processes"
"25,Risk profiles automatically assess passengers and goods"
"26,Algorithm refinement focused on reducing false positives"
"27,Human customs officers review all high-risk flagged items"
"28,Regular performance monitoring and algorithm adjustment"
"29,Banks agreed to publish descriptions of algorithmic systems"
"30,Commitment to human oversight for significant decisions"
"31,Regular review and update processes"
"32,Engagement with government transparency frameworks"
"33,Automated approval algorithms based on limited data points"
"34,Minimal income verification requirements"
"35,Focus on transaction history rather than comprehensive creditworthiness"
"36,Marketing to demographics with limited credit history"
"37,Machine learning models trained on decades of historical lending data"
"38,Automated credit scoring incorporating postcode employment patterns and spending behaviour"
"39,Limited bias testing or adjustment for historical discrimination"
"40,Deployment without comprehensive fairness auditing"
"41,Analysis of customer transaction data for product recommendations"
"42,Automated push notifications and in-app suggestions"
"43,Limited customer control over personalisation settings"
"44,Unclear privacy policies regarding algorithmic decision-making"
"45,Automated analysis of health questionnaires and medical records"
"46,Algorithm-driven risk categorisation based on diagnostic codes"
"47,Reduced human underwriter involvement in flagged cases"
"48,Limited appeals processes for algorithmic decisions"
"49,Automated identity verification using facial recognition and document scanning"
"50,Name matching algorithms optimised for European/Western naming conventions"
"51,Limited human review of algorithmic rejections"
"52,Batch processing with minimal individual case consideration"
"53,Algorithmic scoring incorporating postcode as risk factor"
"54,Automated pre-approval systems with limited human override"
"55,Historical property data and demographic information influencing approvals"
"56,Limited transparency about location-based scoring factors"
"57,Enhanced sensitivity in fraud detection algorithms"
"58,Automatic card blocking and account freezing for suspicious transactions"
"59,Reduced human review capacity due to remote working limitations"
"60,Limited customer notification and appeal processes"
"61,Algorithmic portfolio rebalancing based on market conditions"
"62,Limited individualisation based on member circumstances"
"63,Automated switching between investment options"
"64,Minimal member notification of algorithmic changes"
"65,Automated analysis of recent cash flow data and industry risk factors"
"66,Algorithm-driven pre-approval decisions for business loans"
"67,Heavy weighting on recent financial performance data"
"68,Limited consideration of pre-pandemic business performance"
